No,Nama,Jabatan Lama,Jabatan Baru
66,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Tangerang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
67,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
68,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Dua
69,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
70,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
71,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
72,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
73,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
74,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
75,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Utara,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
76,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
77,*****,Account Representative Kantor Pelayanan Pajak Madya Semarang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
78,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
79,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
80,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
81,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
82,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Tiga
83,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat
84,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Semarang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat
85,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat
86,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat
87,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Empat
88,*****,Account Representative Kantor Pelayanan Pajak Madya Karawang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
89,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
90,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
91,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
92,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Surabaya,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
93,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
94,*****,Account Representative Kantor Pelayanan Pajak Madya Surakarta,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
95,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
96,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
97,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
98,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Bandung,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
99,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Lima
100,*****,Account Representative Kantor Pelayanan Pajak Madya Tangerang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
101,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
102,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
103,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
104,*****,Account Representative Kantor Pelayanan Pajak Madya Tangerang,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
105,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
106,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Surabaya,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
107,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
108,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
109,*****,Account Representative Kantor Pelayanan Pajak Madya Sidoarjo,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
110,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
111,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Penanaman Modal Asing Enam
112,*****,Account Representative Kantor Pelayanan Pajak Madya Bandung,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
113,*****,Account Representative Kantor Pelayanan Pajak Madya Bogor,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
114,*****,Account Representative Kantor Pelayanan Pajak Madya Bogor,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
115,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
116,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
117,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
118,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Timur,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
119,*****,Account Representative Kantor Pelayanan Pajak Madya Gresik,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
120,*****,Account Representative Kantor Pelayanan Pajak Madya Tangerang,Account Representative Kantor Pelayanan Pajak Badan dan Orang Asing
121,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
122,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
123,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
124,*****,Account Representative Kantor Pelayanan Pajak Madya Bandung,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
125,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
126,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
127,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Tangerang,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
128,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
129,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
130,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Semarang,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
131,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Selatan I,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
132,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Utara,Account Representative Kantor Pelayanan Pajak Minyak dan Gas Bumi
133,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
134,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
135,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Utara,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
136,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Selatan II,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
137,*****,Account Representative Kantor Pelayanan Pajak Madya Karawang,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
138,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Barat,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
139,*****,Account Representative Kantor Pelayanan Pajak Madya Bekasi,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
140,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Tangerang,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
141,*****,Account Representative Kantor Pelayanan Pajak Madya Jakarta Timur,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
142,*****,Account Representative Kantor Pelayanan Pajak Madya Karawang,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
143,*****,Account Representative Kantor Pelayanan Pajak Madya Bandung,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
144,*****,Account Representative Kantor Pelayanan Pajak Madya Bandung,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
145,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Barat,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
146,*****,Account Representative Kantor Pelayanan Pajak Madya Karawang,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
147,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Jakarta Pusat,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
148,*****,Account Representative Kantor Pelayanan Pajak Madya Kota Bekasi,Account Representative Kantor Pelayanan Pajak Perusahaan Masuk Bursa
149,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
150,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Bandung,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
151,*****,Account Representative Kantor Pelayanan Pajak Pratama Jakarta Setiabudi Satu,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
152,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
153,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
154,*****,Account Representative Kantor Pelayanan Pajak Pratama Rengat,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
155,*****,Pelaksana Bagian Mutasi dan Kepangkatan,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh
156,*****,Pelaksana Kantor Pelayanan Pajak Pratama Medan Timur,Account Representative Kantor Pelayanan Pajak Pratama Aceh Besar
157,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Medan,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
158,*****,Account Representative Kantor Pelayanan Pajak Pratama Binjai,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
159,*****,Account Representative Kantor Pelayanan Pajak Pratama Bogor,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
160,*****,Account Representative Kantor Pelayanan Pajak Pratama Padang Sidempuan,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
161,*****,Account Representative Kantor Pelayanan Pajak Pratama Rantau Prapat,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
162,*****,Account Representative Kantor Pelayanan Pajak Madya Medan,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
163,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Lhokseumawe
164,*****,Account Representative Kantor Pelayanan Pajak Pratama Balige,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
165,*****,Account Representative Kantor Pelayanan Pajak Pratama Sibolga,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
166,*****,Account Representative Kantor Pelayanan Pajak Pratama Sibolga,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
167,*****,Account Representative Kantor Pelayanan Pajak Pratama Jayapura,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
168,*****,Pelaksana Kantor Pelayanan Pajak Pratama Subulussalam,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
169,*****,Pelaksana Kantor Pelayanan Pajak Pratama Lhokseumawe,Account Representative Kantor Pelayanan Pajak Pratama Meulaboh
170,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Barat,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
171,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Petisah,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
172,*****,Account Representative Kantor Pelayanan Pajak Madya Medan,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
173,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
174,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Barat,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
175,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Petisah,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
176,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Barat,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
177,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Medan,Account Representative Kantor Pelayanan Pajak Pratama Bireuen
178,*****,Account Representative Kantor Pelayanan Pajak Madya Medan,Account Representative Kantor Pelayanan Pajak Pratama Langsa
179,*****,Account Representative Kantor Pelayanan Pajak Pratama Jakarta Pulogadung,Account Representative Kantor Pelayanan Pajak Pratama Langsa
180,*****,Account Representative Kantor Pelayanan Pajak Pratama Sibolga,Account Representative Kantor Pelayanan Pajak Pratama Langsa
181,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Medan,Account Representative Kantor Pelayanan Pajak Pratama Langsa
182,*****,Account Representative Kantor Pelayanan Pajak Madya Medan,Account Representative Kantor Pelayanan Pajak Pratama Langsa
183,*****,Account Representative Kantor Pelayanan Pajak Madya Dua Medan,Account Representative Kantor Pelayanan Pajak Pratama Langsa
184,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Petisah,Account Representative Kantor Pelayanan Pajak Pratama Langsa
185,*****,Pelaksana Direktorat Penegakan Hukum,Account Representative Kantor Pelayanan Pajak Pratama Langsa
186,*****,Account Representative Kantor Pelayanan Pajak Pratama Medan Polonia,Account Representative Kantor Pelayanan Pajak Pratama Tapak Tuan
187,*****,Pelaksana Kantor Pelayanan Pajak Pratama Bireuen,Account Representative Kantor Pelayanan Pajak Pratama Tapak Tuan
188,*****,Pelaksana Kantor Wilayah DJP Aceh,Account Representative Kantor Pelayanan Pajak Pratama Tapak Tuan
189,*****,Pelaksana Kantor Pelayanan Pajak Perusahaan Masuk Bursa,Account Representative Kantor Pelayanan Pajak Pratama Tapak Tuan
190,*****,Account Representative Kantor Pelayanan Pajak Pratama Sibolga,Account Representative Kantor Pelayanan Pajak Pratama Subulussalam
191,*****,Pelaksana Kantor Wilayah DJP Sumatera Utara I,Account Representative Kantor Pelayanan Pajak Pratama Subulussalam
192,*****,Account Representative Kantor Pelayanan Pajak Pratama Padang Sidempuan,Account Representative Kantor Pelayanan Pajak Pratama Subulussalam
193,*****,Account Representative Kantor Pelayanan Pajak Madya Bogor,Account Representative Kantor Pelayanan Pajak Madya Medan
194,*****,Account Representative Kantor Pelayanan Pajak Madya Batam,Account Representative Kantor Pelayanan Pajak Madya Medan
195,*****,Account Representative Kantor Pelayanan Pajak Pratama Palembang Ilir Timur,Account Representative Kantor Pelayanan Pajak Madya Medan
196,*****,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh,Account Representative Kantor Pelayanan Pajak Madya Medan
197,*****,Penelaah Keberatan Kantor Wilayah DJP Sumatera Utara I,Account Representative Kantor Pelayanan Pajak Madya Medan
198,*****,Penelaah Keberatan Kantor Wilayah DJP Sumatera Utara I,Account Representative Kantor Pelayanan Pajak Madya Dua Medan
199,*****,Penelaah Keberatan Kantor Wilayah DJP Sumatera Utara I,Account Representative Kantor Pelayanan Pajak Madya Dua Medan
200,*****,Account Representative Kantor Pelayanan Pajak Pratama Sukabumi,Account Representative Kantor Pelayanan Pajak Madya Dua Medan
201,*****,Account Representative Kantor Pelayanan Pajak Pratama Rantau Prapat,Account Representative Kantor Pelayanan Pajak Madya Dua Medan
202,*****,Account Representative Kantor Pelayanan Pajak Pratama Banda Aceh,Account Representative Kantor Pelayanan Pajak Madya Dua Medan
